id;no_need;name;abbreviated_name;is_abbreviated;position;n_honor;is_department;year;ministry;royal_honor
1;PoulChr.Saxild,;Poul Chr. Saxild;P. C. Saxild;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
2;Frederik Valdemar Petersen;Frederik Valdemar Petersen;F. V. Petersen;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
3;ThureFrederikKrarup;Thure Frederik Krarup;T. F. Krarup;FALSE;kontorchef;1;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
4;Frants Harald Vilhelm Bentsen;Frants Harald Vilhelm Bentsen;F. H. V. Bentsen;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
5;Finn Hoskiær,;Finn Hoskiær;F. Hoskiær;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
6;Peter Andreas Hoick Colding;Peter Andreas Hoick Colding;P. A. H. Colding;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
7;P. C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;kontorchef;1;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
8;F. T. M. M. Nordlien;F. T. M. M. Nordlien;F. T. M. M. Nordlien;TRUE;departementschef;2;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
9;Adam V ilhe lm H a s t r u p ,;Adam Vilhelm Hastrup;A. V. Hastrup;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
10;C . F . S c h w a r t z k o p f;C. F. Schwartzkopf;C. F. Schwartzkopf;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
11;Henrik Valdem ar S k ib s t e d;Henrik Valdemar Skibsted;H. V. Skibsted;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
12;F . C . B r u u n;F. C. Bruun;F. C. Bruun;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
13;O ve C a r l M u u s;Ove Carl Muus;O. C. Muus;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
14;Je n s Stephan Vilhelm W e r lä u f s t;Jens Stephan Vilhelm Werläufst;J. S. V. Werläufst;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
15;I . A . F . de J o n q u i ö r e s;I. A. F. de Jonquières;I. A. F. d. Jonquières;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
16;A . C . P . L in d e;A. C. P. Linde;A. C. P. Linde;TRUE;departementschef;1;TRUE;1873;kultusministeriet;TRUE
17;Peter Daniel Swane,;Peter Daniel Swane;P. D. Swane;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
18;Vilhelm Bardenfleth;Vilhelm Bardenfleth;V. Bardenfleth;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
19;Knud Sehested;Knud Sehested;K. Sehested;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
20;M. J. Jacoby;M. J. Jacoby;M. J. Jacoby;TRUE;kontorchef;2;TRUE;1891;indenrigsministeriet;TRUE
21;P. C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;departementschef;2;TRUE;1891;indenrigsministeriet;TRUE
22;Jørgen Erik Frederik Mørup;Jørgen Erik Frederik Mørup;J. E. F. Mørup;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
23;P. G. T. Birk;P. G. T. Birk;P. G. T. Birk;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
24;Louis Emil Wulff,;Louis Emil Wulff;L. E. Wulff;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
25;Louis Joseph Fleron,;Louis Joseph Fleron;L. J. Fleron;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
26;H. M. F. V. S. H. Damkier;H. M. F. V. S. H. Damkier;H. M. F. V. S. H. Damkier;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
27;Anton Vilhelm Heinrich Groothoff;Anton Vilhelm Heinrich Groothoff;A. V. H. Groothoff;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
28;J. H. Ahnfeldt;J. H. Ahnfeldt;J. H. Ahnfeldt;TRUE;fuldmægtig;2;TRUE;1891;indenrigsministeriet;TRUE
29;P. F. Schou;P. F. Schou;P. F. Schou;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
30;H. E. Horring;H. E. Horring;H. E. Horring;TRUE;departementschef;2;TRUE;1891;indenrigsministeriet;TRUE
31;Aage Schlichtkrul;Aage Schlichtkrul;A. Schlichtkrul;FALSE;fuldmægtig;2;TRUE;1914;indenrigsministeriet;TRUE
32;J. H. Olivariu;J. H. Olivariu;J. H. Olivariu;TRUE;fuldmægtig;1;TRUE;1914;indenrigsministeriet;TRUE
33;V. R. Haarløv;V. R. Haarløv;V. R. Haarløv;TRUE;fuldmægtig;1;TRUE;1914;indenrigsministeriet;TRUE
34;F. C. Martensen-Larsen;F. C. Martensen-Larsen;F. C. Martensen-Larsen;TRUE;kontorchef;1;TRUE;1914;indenrigsministeriet;TRUE
35;H. A. S. Vedel;H. A. S. Vedel;H. A. S. Vedel;TRUE;departementschef;1;TRUE;1914;indenrigsministeriet;TRUE
36;Valdemar Worm,;Valdemar Worm;V. Worm;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
37;William Gustav Ditlev Frederik Richter,;William Gustav Ditlev Frederik Richter;W. G. D. F. Richter;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
38;Hans Christian Valdemar Schau;Hans Christian Valdemar Schau;H. C. V. Schau;FALSE;kontorchef;0;TRUE;1897;landbrugsministeriet;FALSE
39;Henrik Rasmus Crone,;Henrik Rasmus Crone;H. R. Crone;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
40;J. E F. Møruv;J. E. F. Møruv;J. E. F. Møruv;TRUE;kontorchef;1;TRUE;1897;landbrugsministeriet;TRUE
41;Arel Henrik Baron Bille Brahe,;Arel Henrik Baron Bille Brahe;A. H. B. B. Brahe;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
42;Hans Carl Dons,;Hans Carl Dons;H. C. Dons;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
43;Herman Carl Oluf Gram;Herman Carl Oluf Gram;H. C. O. Gram;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
44;Peter Daniel Swane,;Peter Daniel Swane;P. D. Swane;FALSE;kontorchef;0;TRUE;1897;landbrugsministeriet;FALSE
45;L. E. Wulff;L. E. Wulff;L. E. Wulff;TRUE;departementschef;1;TRUE;1897;landbrugsministeriet;TRUE
46;Knud Friis Jespersen;Knud Friis Jespersen;K. F. Jespersen;FALSE;fuldmægtig;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
47;Julian Alf Jensen;Julian Alf Jensen;J. A. Jensen;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
48;H. S. de Jonquières;H. S. de Jonquières;H. S. d. Jonquières;TRUE;kontorchef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
49;Hans Ege.de Glahn,;Hans Ege de Glahn;H. E. d. Glahn;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
50;O. S. D. Fenger;O. S. D. Fenger;O. S. D. Fenger;TRUE;kontorchef;2;TRUE;1931;arbejds_og_socialministeriet;TRUE
51;I. H. Schaldemose;I. H. Schaldemose;I. H. Schaldemose;TRUE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
52;Gunnar Bardenfleth;Gunnar Bardenfleth;G. Bardenfleth;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
53;Erik Dreyer,;Erik Dreyer;E. Dreyer;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
54;J. A. A. Berner;J. A. A. Berner;J. A. A. Berner;TRUE;kontorchef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
55;R. Lassen;R. Lassen;R. Lassen;TRUE;departementschef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
56;Carl Ludvig Lage;Carl Ludvig Lage;C. L. Lage;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
57;Carl Vilhelm Johannes Dreye;Carl Vilhelm Johannes Dreye;C. V. J. Dreye;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
58;Henrik Michael FrederikVictor:Sophus Haller Damkier,;Henrik Michael Frederik Victor Sophus Haller Damkier;H. M. F. V. S. H. Damkier;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
59;Meyer Jacob Jacoby;Meyer Jacob Jacoby;M. J. Jacoby;FALSE;kontorchef;0;TRUE;1885;indenrigsministeriet;FALSE
60;P.C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;departementschef;1;TRUE;1885;indenrigsministeriet;TRUE
61;Oluf Absalon Bøgh;Oluf Absalon Bøgh;O. A. Bøgh;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
62;P. G. T. Birk;P. G. T. Birk;P. G. T. Birk;TRUE;kontorchef;1;TRUE;1885;indenrigsministeriet;TRUE
63;Vilhelm Peter Greve Schulin,;Vilhelm Peter Greve Schulin;V. P. G. Schulin;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
64;Louis Joseph Fleron,;Louis Joseph Fleron;L. J. Fleron;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
65;Johan Christopher Hoppe,;Johan Christopher Hoppe;J. C. Hoppe;FALSE;kontorchef;0;TRUE;1885;indenrigsministeriet;FALSE
66;G. C. V. H. v. Stemann,;G. C. V. H. v. Stemann;G. C. V. H. v. Stemann;TRUE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
67;Conrad Alexander Fabritius de Tengnagel,;Conrad Alexander Fabritius de Tengnagel;C. A. F. d. Tengnagel;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
68;P. F. Schou ;P. F. Schou;P. F. Schou;TRUE;kontorchef;1;TRUE;1885;indenrigsministeriet;TRUE
69;C. P. M. Bache;C. P. M. Bache;C. P. M. Bache;TRUE;departementschef;1;TRUE;1885;indenrigsministeriet;TRUE
70;Poul Otto Dorph-Petersen ;Poul Otto Dorph-Petersen;P. O. Dorph-Petersen;FALSE;fuldmægtig;1;TRUE;1927;kultusministeriet;TRUE
