"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
8445;"Gerhard Jacob Martensen";"G. J. Martensen";FALSE;"kontorchef";TRUE;1850;"finansministeriet";1
10035;"Andreas Carl Hanson";"A. C. Hanson";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";2
8467;"Emil Christian Frederik Lange";"E. C. F. Lange";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";3
8466;"N. F. B. Schiern";"N. F. B. Schiern";TRUE;"kontorchef";TRUE;1850;"finansministeriet";4
8465;"Christian Malsøe";"C. Malsøe";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";5
8464;"N. P. G. Andersen";"N. P. G. Andersen";TRUE;"fuldmægtig";TRUE;1850;"finansministeriet";6
8463;"E. Collin";"E. Collin";TRUE;"departementschef";TRUE;1850;"finansministeriet";7
8462;"Anton Henrik Dorph";"A. H. Dorph";FALSE;"kontorchef";TRUE;1850;"finansministeriet";8
8461;"Jacob Christian Hald";"J. C. Hald";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";9
8460;"Ingver Andresen";"I. Andresen";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";10
8459;"Frederik Gottlieb Lausen";"F. G. Lausen";FALSE;"kontorchef";TRUE;1850;"finansministeriet";11
8458;"Julius Benzon-Buchwald";"J. Benzon-Buchwald";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";12
8457;"Anton Ludvig Arnesen";"A. L. Arnesen";FALSE;"kontorchef";TRUE;1850;"finansministeriet";13
8456;"Ove Malling";"O. Malling";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";14
8455;"W. F. Johnsen";"W. F. Johnsen";TRUE;"departementschef";TRUE;1850;"finansministeriet";15
8454;"Frederik Wilhelm Thiele";"F. W. Thiele";FALSE;"kontorchef";TRUE;1850;"finansministeriet";16
8453;"Bertel Nicolai Heiberg";"B. N. Heiberg";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";17
8452;"L. F. Fog";"L. F. Fog";TRUE;"departementschef";TRUE;1850;"finansministeriet";18
10034;"Alfred Rosenstand-Goiske";"A. Rosenstand-Goiske";FALSE;"kontorchef";TRUE;1850;"indenrigsministeriet";19
10033;"Carl Munch";"C. Munch";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";20
10032;"C. F. Simony";"C. F. Simony";TRUE;"departementschef";TRUE;1850;"indenrigsministeriet";21
10031;"C. B. A. Dahl";"C. B. A. Dahl";TRUE;"kontorchef";TRUE;1850;"indenrigsministeriet";22
8471;"C. E. Møhl";"C. E. Møhl";TRUE;"kontorchef";TRUE;1850;"finansministeriet";23
8470;"Carl Theodor Alberg";"C. T. Alberg";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";24
8469;"E. C. Clausen";"E. C. Clausen";TRUE;"kontorchef";TRUE;1850;"finansministeriet";25
8468;"Peter Christensen Borthig";"P. C. Borthig";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";26
10017;"Johan Mathias Schmidt";"J. M. Schmidt";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";27
10018;"Hans Jorgen Hoegh";"H. J. Hoegh";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";28
10019;"Jorgen Christian Møller";"J. C. Møller";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";29
10020;"Evvard Christian Peter Blechingberg";"E. C. P. Blechingberg";FALSE;"kontorchef";TRUE;1850;"indenrigsministeriet";30
8451;"Andreas Anton Wesstergaard";"A. A. Wesstergaard";FALSE;"kontorchef";TRUE;1850;"finansministeriet";31
10021;"L. P. Larsen";"L. P. Larsen";TRUE;"departementschef";TRUE;1850;"indenrigsministeriet";32
10023;"Christian Wilhelm Balslov";"C. W. Balslov";FALSE;"kontorchef";TRUE;1850;"indenrigsministeriet";33
10024;"W. H. I. Schaffa-litzky de Muckadell";"W. H. I. S. d. Muckadell";TRUE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";34
10025;"Waldemar Jacobsen";"W. Jacobsen";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";35
10026;"A. de Fine Skibsted";"A. d. F. Skibsted";TRUE;"kontorchef";TRUE;1850;"indenrigsministeriet";36
10027;"Frederik August Esbensen";"F. A. Esbensen";FALSE;"departementschef";TRUE;1850;"indenrigsministeriet";37
10028;"Christian Fischer";"C. Fischer";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";38
10029;"J. T. W. Baudick";"J. T. W. Baudick";TRUE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";39
10030;"C. M. Møller";"C. M. Møller";TRUE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";40
10022;"Edvard William Leuning";"E. W. Leuning";FALSE;"fuldmægtig";TRUE;1850;"indenrigsministeriet";41
8450;"Lauritz Ring";"L. Ring";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";42
8449;"Hans Hellesen";"H. Hellesen";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";43
8448;"Johan Frederik Otto Edvard Meyer";"J. F. O. E. Meyer";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";44
10830;"C. D. Lunn";"C. D. Lunn";TRUE;"departementschef";TRUE;1850;"justitsministeriet";45
10831;"Fred. Julius Rønemann Petersen";"F. J. R. Petersen";TRUE;"fuldmægtig";TRUE;1850;"justitsministeriet";46
10832;"Wilhelm Christian Friess";"W. C. Friess";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";47
10833;"Jospeh Carl Soldenfeldt";"J. C. Soldenfeldt";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";48
10834;"Jørgen Ludvig Schmidt";"J. L. Schmidt";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";49
10835;"Samuel Leopold Heise";"S. L. Heise";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";50
10836;"Christian Adrian Jansen";"C. A. Jansen";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";51
10837;"Carl Wilhelm Lautrup";"C. W. Lautrup";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";52
10829;"Ludvig August Kramer";"L. A. Kramer";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";53
10838;"Andreas Hjort Grove";"A. H. Grove";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";54
10840;"Frederik Christian Bech";"F. C. Bech";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";55
10841;"Michael Ditlev Kriger";"M. D. Kriger";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";56
10842;"F. C. E. Dahlstrom";"F. C. E. Dahlstrom";TRUE;"departementschef";TRUE;1850;"justitsministeriet";57
8427;"Peter Kofod Bohn";"P. K. Bohn";FALSE;"kontorchef";FALSE;1850;"finansministeriet";58
10012;"Niels Secher";"N. Secher";FALSE;"fuldmægtig";FALSE;1850;"indenrigsministeriet";59
10013;"Hans Peter Kofoed";"H. P. Kofoed";FALSE;"kontorchef";FALSE;1850;"indenrigsministeriet";60
10014;"Carl Peter Gram Leuning";"C. P. G. Leuning";FALSE;"fuldmægtig";FALSE;1850;"indenrigsministeriet";61
10015;"Oddgeir Stephensen";"O. Stephensen";FALSE;"kontorchef";FALSE;1850;"indenrigsministeriet";62
10839;"A. Møller";"A. Møller";TRUE;"departementschef";TRUE;1850;"justitsministeriet";63
8472;"C. F. Holm";"C. F. Holm";TRUE;"kontorchef";TRUE;1850;"finansministeriet";64
10828;"Andreas Johan Skibsted";"A. J. Skibsted";FALSE;"fuldmægtig";TRUE;1850;"justitsministeriet";65
8429;"S. H. A. Wedel";"S. H. A. Wedel";TRUE;"departementschef";FALSE;1850;"finansministeriet";66
8447;"Johan Andreas Hasselberg";"J. A. Hasselberg";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";67
8446;"C. J. Hauch";"C. J. Hauch";TRUE;"departementschef";TRUE;1850;"finansministeriet";68
8444;"Rasmus Frederik Andersen";"R. F. Andersen";FALSE;"fuldmægtig";TRUE;1850;"finansministeriet";69
8443;"P. G. Bang";"P. G. Bang";TRUE;"departementschef";FALSE;1850;"finansministeriet";70
8442;"Christian Gottlieb Korn";"C. G. Korn";FALSE;"kontorchef";FALSE;1850;"finansministeriet";71
8441;"Christen Laurtiz Bruun";"C. L. Bruun";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";72
8440;"Jensenius Theodor Christensen";"J. T. Christensen";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";73
8439;"F. F. F. v. Wimpfen";"F. F. F. v. Wimpfen";TRUE;"kontorchef";FALSE;1850;"finansministeriet";74
8428;"Just Peter Le Sage de Fontenay";"J. P. L. S. d. Fontenay";FALSE;"kontorchef";FALSE;1850;"finansministeriet";75
8438;"L. C. Brinch-Seidelin";"L. C. Brinch-Seidelin";TRUE;"departementschef";FALSE;1850;"finansministeriet";76
8436;"Frederik Berg";"F. Berg";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";77
8435;"Edvard Christian Møller";"E. C. Møller";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";78
8434;"Mogens Peter Grooss";"M. P. Grooss";FALSE;"kontorchef";FALSE;1850;"finansministeriet";79
10827;"Hans Peter Koefoed Moller";"H. P. K. Moller";FALSE;"kontorchef";TRUE;1850;"justitsministeriet";80
8433;"W. Halling";"W. Halling";TRUE;"fuldmægtig";FALSE;1850;"finansministeriet";81
8432;"Thomas Peter Andersen";"T. P. Andersen";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";82
8431;"Ernsst Diderich Bruun";"E. D. Bruun";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";83
8430;"Peter Hansenius Ringsted";"P. H. Ringsted";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";84
8437;"Knud Korfits Korfitsen";"K. K. Korfitsen";FALSE;"kontorchef";FALSE;1850;"finansministeriet";85
10016;"Brynjolf Pjetursson";"B. Pjetursson";FALSE;"departementschef";TRUE;1850;"indenrigsministeriet";86
8426;"Frederik Christian Grove";"F. C. Grove";FALSE;"fuldmægtig";FALSE;1850;"finansministeriet";87
1451;"Frank Christopher Bruun";"F. C. Bruun";FALSE;"kontorchef";TRUE;1850;"kultusministeriet";88
1450;"Andreas Kreutzfeld Bang";"A. K. Bang";FALSE;"kontorchef";TRUE;1850;"kultusministeriet";89
1452;"Christian Daniel Gottlieb Brücker";"C. D. G. Brücker";FALSE;"fuldmægtig";TRUE;1850;"kultusministeriet";90
1453;"A. C. P. Linde";"A. C. P. Linde";TRUE;"kontorchef";TRUE;1850;"kultusministeriet";91
1454;"J. O. Hansen";"J. O. Hansen";TRUE;"departementschef";TRUE;1850;"kultusministeriet";92
1455;"Christian Frederik Schwartzkopff";"C. F. Schwartzkopff";FALSE;"fuldmægtig";TRUE;1850;"kultusministeriet";93
1456;"Jean Anders Frederik de Jonquiöres";"J. A. F. d. Jonquiöres";FALSE;"kontorchef";TRUE;1850;"kultusministeriet";94
1457;"C. M. Weis";"C. M. Weis";TRUE;"departementschef";TRUE;1850;"kultusministeriet";95
10862;"Jospeh Carl Soldenfeldt";"J. C. Soldenfeldt";FALSE;"kontorchef";TRUE;1851;"justitsministeriet";48
10864;"Samuel Leopold Heise";"S. L. Heise";FALSE;"kontorchef";TRUE;1851;"justitsministeriet";50
3021;"Carl Munch";"C. Munch";FALSE;"fuldmægtig";TRUE;1851;"indenrigsministeriet";20
3022;"Alfred Rosenstand-Goiske";"A. Rosenstand-Goiske";FALSE;"kontorchef";TRUE;1851;"indenrigsministeriet";19
3023;"Andreas Carl Hanson";"A. C. Hanson";FALSE;"fuldmægtig";TRUE;1851;"indenrigsministeriet";2
882;"E. C. Clausen";"E. C. Clausen";TRUE;"kontorchef";TRUE;1851;"finansministeriet";25
873;"Ingver Andresen";"I. Andresen";FALSE;"fuldmægtig";TRUE;1851;"finansministeriet";10
10856;"Hans Peter Koefoed Moller";"H. P. K. Moller";FALSE;"kontorchef";TRUE;1851;"justitsministeriet";80
10861;"Wilhelm Christian Friess";"W. C. Friess";FALSE;"fuldmægtig";TRUE;1851;"justitsministeriet";47
10857;"Andreas Johan Skibsted";"A. J. Skibsted";FALSE;"fuldmægtig";TRUE;1851;"justitsministeriet";65
10859;"C. D. Lunn";"C. D. Lunn";TRUE;"departementschef";TRUE;1851;"justitsministeriet";45
10860;"Fred. Julius Rønemann Petersen";"F. J. R. Petersen";TRUE;"fuldmægtig";TRUE;1851;"justitsministeriet";46
10865;"Christian Adrian Jansen";"C. A. Jansen";FALSE;"fuldmægtig";TRUE;1851;"justitsministeriet";51
885;"C. F. Holm";"C. F. Holm";TRUE;"departementschef";TRUE;1851;"finansministeriet";64
